凹陷	-1
倒坍	-1
倒塌	-1
垮台	-1
塌陷	-1
崩溃	-1
虚脱	-1
衰败	-1
倒	-1
坍塌	-1
瓦解	-1
溃	-1
溃陷	-1
下去	-1
下来	-1
下落	-1
下降	-1
走下	-1
递减	-1
俯冲	-1
跳水	-1
下潜	-1
落下	-1
变弱	-1
失落	-1
掉下	-1
跌落	-1
降低	-1
降落	-1
下跌	-1
倒下	-1
减弱	-1
失守	-1
陷于	-1
下坠	-1
坠	-1
坠入	-1
减低	-1
放低	-1
降下	-1
低	-1
猛跌	-1
陷入	-1
下沉	-1
陷	-1
滑落	-1
滑坡	-1
滑动	-1
减退	-1
暴跌	-1
沉陷	-1
消沉	-1
衰落	-1
衰退	-1
猛然落下	-1
减少	-1
减轻	-1
切断	-1
萎缩	-1
收缩	-1
抵制	-1
抵抗	-1
抵消	-1
消除	-1
阻碍	-1
削	-1
衰减	-1
陨落	-1
下倾	-1
下垂	-1
没落	-1
减小	-1
减少之量	-1
衰竭	-1
耗尽	-1
降价	-1
减损	-1
变小	-1
变少	-1
缩小	-1
气馁	-1
失去信心	-1
泄气	-1
阻止	-1
凋谢	-1
枯萎	-1
衰弱	-1
逐渐消失	-1
最小化	-1
最低值	-1
后退	-1
缩减	-1
退	-1
不景气	-1
凹处	-1
经济倒退	-1
经济衰退	-1
萧条时期	-1
萧条期	-1
退后	-1
退回	-1
凹槽	-1
缩	-1
延迟	-1
减速	-1
妨碍	-1
倒退	-1
逆转	-1
反向	-1
不足	-1
稀少	-1
缺乏	-1
稀有	-1
皱缩	-1
畏缩	-1
退缩	-1
卷缩	-1
慢下来	-1
减缓	-1
平静	-1
退落	-1
消散	-1
成为零	-1
衰退期	-1
呈下弦	-1
消逝	-1
衰微	-1
退潮	-1
逐渐变小	-1
干枯	-1
减缩	-1
 削减	-1
回落	-1
释减	-1
调减	-1
减半	-1
折半	-1
骤减	-1
剧减	-1
落	-1
降	-1
低落	-1
下滑	-1
骤降	-1
下挫 	-1
狂跌	-1
滑降	-1
大跌	-1
稳中有降	-1
减价	-1
跌价	-1
锐减	-1
跌破	-1
降温	-1
走下坡路	-1
跌势	-1
低潮	-1
萧条	-1
冷淡	-1
清淡	-1
低迷	-1
走低	-1
凋敝	-1
凋零	-1
败落	-1
破落	-1
颓败	-1
衰颓	-1
强弩之末	-1
一落千丈	-1
萎靡	-1
降幅	-1
冲淡	-1
和缓	-1
冷却	-1
削弱	-1
弱化	-1
缓和	-1
软化	-1
增多 	1
增加 	1
净增	1
日增 	1
大增	1
有增无减	1
增长	1
助长	1
日益增长	1
抬高	1
添加	1
增大	1
叠加 	1
递增	1
与日俱增	1
激增	1
猛增	1
 剧增 	1
新增 	1
有增无已 	1
与年俱增 	1
骤增	1
增创 	1
 疯长	1
倍增 	1
加倍	1
倍加	1
成倍	1
双增长	1
增值 	1
升值	1
增强	1
提高	1
增高	1
增进	1
滋长	1
加强	1
膨胀 	1
膨大	1
猛涨	1
暴涨	1
暴胀	1
微涨	1
长势	1
涨势	1
增势	1
升势	1
上扬 	1
上移 	1
突飞猛进	1
稳步前进	1
稳中求进	1
稳中有进	1
并进	1
增幅	1
涨幅 	1
升幅	1
增至	1
看涨	1
升温	1
增益	1
增盈	1
增效 	1
加大	1
上升 	1
升高	1
 腾起	1
 狂升 	1
稳中有升	1
爬升	1
攀升	1
抬高	1
腾飞	1
飙升	1
提高 	1
拔高	1
涨 	1
高升	1
涨价	1
提速	1
哄抬	1
通胀	1
跃升 	1
跃居	1
加快	1
加速	1
增速	1
变快	1
增加	1
增多	1
前进	1
提升	1
推进	1
扩大	1
放大	1
新增	1
上升	1
旺盛	1
盛开	1
繁盛	1
景气	1
繁荣	1
兴旺	1
兴隆	1
急速发展	1
迅速发展	1
推动	1
拓宽	1
兴建	1
发达	1
成长	1
生长	1
两倍	1
双倍	1
两倍的	1
双倍的	1
双的	1
双重的	1
翻一番	1
胜过	1
超过	1
超越	1
超过其他	1
越出	1
优于	1
扩张	1
膨胀	1
拓展	1
扩展	1
伸展	1
延伸	1
扩充	1
处于旺盛时期	1
茂盛	1
加高	1
上浮	1
增	1
平添	1
胀大	1
加剧	1
最大化	1
冲力	1
动力	1
势头	1
超值	1
势不可挡的	1
压倒性的	1
压倒的	1
无法抵抗的	1
丰富的	1
昌隆	1
昌盛	1
兴旺的	1
成功的	1
昌盛的	1
繁荣的	1
茂盛的	1
顺利的	1
欣欣向荣	1
点燃	1
扬起	1
上涨	1
高耸	1
上扬	1
升腾	1
攀登	1
攀高	1
上坡	1
冲击波	1
爬	1
攀上	1
攀援	1
爬高	1
突升	1
跃过	1
剧增	1
到达顶端	1
最高峰	1
尖端	1
尖顶	1
山峰	1
峰	1
峰值	1
最高点	1
最高的	1
顶点	1
顶端	1
高峰	1
尖峰	1
高峰的	1
高涨程度	1
昂扬	1
滑翔	1
翱翔	1
